x,50.xy,Ycalc,Diff,Gd2O3,UO2
10,144,0,0,0,0
10.02,158,0,0,0,0
10.04,151,0,0,0,0
10.06,165,0,0,0,0
10.08,147,0,0,0,0
10.1,161,0,0,0,0
10.12,131,0,0,0,0
10.14,137,0,0,0,0
10.16,138,0,0,0,0
10.18,134,0,0,0,0
10.2,150,0,0,0,0
10.22,137,0,0,0,0
10.24,156,0,0,0,0
10.26,145,0,0,0,0
10.28,158,0,0,0,0
10.3,128,0,0,0,0
10.32,136,0,0,0,0
10.34,145,0,0,0,0
10.36,161,0,0,0,0
10.38,138,0,0,0,0
10.4,147,0,0,0,0
10.42,160,0,0,0,0
10.44,146,0,0,0,0
10.46,148,0,0,0,0
10.48,145,0,0,0,0
10.5,142,0,0,0,0
10.52,144,0,0,0,0
10.54,148,0,0,0,0
10.56,124,0,0,0,0
10.58,127,0,0,0,0
10.6,120,0,0,0,0
10.62,127,0,0,0,0
10.64,122,0,0,0,0
10.66,127,0,0,0,0
10.68,112,0,0,0,0
10.7,129,0,0,0,0
10.72,122,0,0,0,0
10.74,134,0,0,0,0
10.76,123,0,0,0,0
10.78,136,0,0,0,0
10.8,137,0,0,0,0
10.82,133,0,0,0,0
10.84,134,0,0,0,0
10.86,119,0,0,0,0
10.88,132,0,0,0,0
10.9,125,0,0,0,0
10.92,133,0,0,0,0
10.94,142,0,0,0,0
10.96,133,0,0,0,0
10.98,128,0,0,0,0
11,115,0,0,0,0
11.02,135,0,0,0,0
11.04,131,0,0,0,0
11.06,116,0,0,0,0
11.08,128,0,0,0,0
11.1,104,0,0,0,0
11.12,112,0,0,0,0
11.14,117,0,0,0,0
11.16,113,0,0,0,0
11.18,119,0,0,0,0
11.2,133,0,0,0,0
11.22,124,0,0,0,0
11.24,120,0,0,0,0
11.26,103,0,0,0,0
11.28,124,0,0,0,0
11.3,110,0,0,0,0
11.32,116,0,0,0,0
11.34,106,0,0,0,0
11.36,122,0,0,0,0
11.38,133,0,0,0,0
11.4,109,0,0,0,0
11.42,119,0,0,0,0
11.44,124,0,0,0,0
11.46,127,0,0,0,0
11.48,118,0,0,0,0
11.5,116,0,0,0,0
11.52,105,0,0,0,0
11.54,98,0,0,0,0
11.56,114,0,0,0,0
11.58,118,0,0,0,0
11.6,109,0,0,0,0
11.62,101,0,0,0,0
11.64,123,0,0,0,0
11.66,97,0,0,0,0
11.68,122,0,0,0,0
11.7,116,0,0,0,0
11.72,123,0,0,0,0
11.74,127,0,0,0,0
11.76,108,0,0,0,0
11.78,96,0,0,0,0
11.8,108,0,0,0,0
11.82,104,0,0,0,0
11.84,122,0,0,0,0
11.86,103,0,0,0,0
11.88,110,0,0,0,0
11.9,105,0,0,0,0
11.92,96,0,0,0,0
11.94,112,0,0,0,0
11.96,112,0,0,0,0
11.98,126,0,0,0,0
12,105,0,0,0,0
12.02,128,0,0,0,0
12.04,120,0,0,0,0
12.06,99,0,0,0,0
12.08,116,0,0,0,0
12.1,138,0,0,0,0
12.12,113,0,0,0,0
12.14,122,0,0,0,0
12.16,113,0,0,0,0
12.18,108,0,0,0,0
12.2,102,0,0,0,0
12.22,109,0,0,0,0
12.24,115,0,0,0,0
12.26,111,0,0,0,0
12.28,109,0,0,0,0
12.3,101,0,0,0,0
12.32,125,0,0,0,0
12.34,103,0,0,0,0
12.36,102,0,0,0,0
12.38,105,0,0,0,0
12.4,113,0,0,0,0
12.42,101,0,0,0,0
12.44,109,0,0,0,0
12.46,113,0,0,0,0
12.48,109,0,0,0,0
12.5,98,0,0,0,0
12.52,109,0,0,0,0
12.54,118,0,0,0,0
12.56,99,0,0,0,0
12.58,104,0,0,0,0
12.6,117,0,0,0,0
12.62,105,0,0,0,0
12.64,97,0,0,0,0
12.66,118,0,0,0,0
12.68,102,0,0,0,0
12.7,137,0,0,0,0
12.72,89,0,0,0,0
12.74,98,0,0,0,0
12.76,117,0,0,0,0
12.78,105,0,0,0,0
12.8,95,0,0,0,0
12.82,130,0,0,0,0
12.84,100,0,0,0,0
12.86,97,0,0,0,0
12.88,93,0,0,0,0
12.9,112,0,0,0,0
12.92,109,0,0,0,0
12.94,113,0,0,0,0
12.96,110,0,0,0,0
12.98,114,0,0,0,0
13,103,0,0,0,0
13.02,127,0,0,0,0
13.04,112,0,0,0,0
13.06,109,0,0,0,0
13.08,118,0,0,0,0
13.1,108,0,0,0,0
13.12,103,0,0,0,0
13.14,149,0,0,0,0
13.16,98,0,0,0,0
13.18,98,0,0,0,0
13.2,116,0,0,0,0
13.22,121,0,0,0,0
13.24,108,0,0,0,0
13.26,94,0,0,0,0
13.28,122,0,0,0,0
13.3,103,0,0,0,0
