'y-axis saved as y
'x,74.xy,Ycalc,Diff,Gd2O3,UO2
10,108,0,0,0,0
10.02,86,0,0,0,0
10.04,115,0,0,0,0
10.06,118,0,0,0,0
10.08,104,0,0,0,0
10.1,100,0,0,0,0
10.12,98,0,0,0,0
10.14,96,0,0,0,0
10.16,101,0,0,0,0
10.18,80,0,0,0,0
10.2,117,0,0,0,0
10.22,102,0,0,0,0
10.24,89,0,0,0,0
10.26,96,0,0,0,0
10.28,86,0,0,0,0
10.3,92,0,0,0,0
10.32,86,0,0,0,0
10.34,101,0,0,0,0
10.36,116,0,0,0,0
10.38,88,0,0,0,0
10.4,100,0,0,0,0
10.42,88,0,0,0,0
10.44,78,0,0,0,0
10.46,94,0,0,0,0
10.48,113,0,0,0,0
10.5,91,0,0,0,0
10.52,82,0,0,0,0
10.54,86,0,0,0,0
10.56,69,0,0,0,0
10.58,85,0,0,0,0
10.6,75,0,0,0,0
10.62,85,0,0,0,0
10.64,75,0,0,0,0
10.66,83,0,0,0,0
10.68,121,0,0,0,0
10.7,86,0,0,0,0
10.72,68,0,0,0,0
10.74,80,0,0,0,0
10.76,79,0,0,0,0
10.78,83,0,0,0,0
10.8,94,0,0,0,0
10.82,77,0,0,0,0
10.84,65,0,0,0,0
10.86,78,0,0,0,0
10.88,80,0,0,0,0
10.9,86,0,0,0,0
10.92,80,0,0,0,0
10.94,86,0,0,0,0
10.96,67,0,0,0,0
10.98,65,0,0,0,0
11,80,0,0,0,0
11.02,90,0,0,0,0
11.04,82,0,0,0,0
11.06,67,0,0,0,0
11.08,79,0,0,0,0
11.1,66,0,0,0,0
11.12,68,0,0,0,0
11.14,71,0,0,0,0
11.16,79,0,0,0,0
11.18,63,0,0,0,0
11.2,88,0,0,0,0
11.22,56,0,0,0,0
11.24,65,0,0,0,0
11.26,76,0,0,0,0
11.28,70,0,0,0,0
11.3,67,0,0,0,0
11.32,71,0,0,0,0
11.34,58,0,0,0,0
11.36,71,0,0,0,0
11.38,55,0,0,0,0
11.4,60,0,0,0,0
11.42,81,0,0,0,0
11.44,65,0,0,0,0
11.46,61,0,0,0,0
11.48,69,0,0,0,0
11.5,68,0,0,0,0
11.52,69,0,0,0,0
11.54,68,0,0,0,0
11.56,61,0,0,0,0
11.58,66,0,0,0,0
11.6,59,0,0,0,0
11.62,73,0,0,0,0
11.64,79,0,0,0,0
11.66,79,0,0,0,0
11.68,54,0,0,0,0
11.7,75,0,0,0,0
11.72,71,0,0,0,0
11.74,54,0,0,0,0
11.76,68,0,0,0,0
11.78,63,0,0,0,0
11.8,61,0,0,0,0
11.82,75,0,0,0,0
11.84,64,0,0,0,0
11.86,59,0,0,0,0
11.88,64,0,0,0,0
11.9,74,0,0,0,0
11.92,78,0,0,0,0
11.94,71,0,0,0,0
11.96,81,0,0,0,0
11.98,53,0,0,0,0
12,63,0,0,0,0
12.02,62,0,0,0,0
12.04,56,0,0,0,0
12.06,70,0,0,0,0
12.08,58,0,0,0,0
12.1,62,0,0,0,0
12.12,75,0,0,0,0
12.14,57,0,0,0,0
12.16,77,0,0,0,0
12.18,62,0,0,0,0
12.2,66,0,0,0,0
12.22,50,0,0,0,0
12.24,78,0,0,0,0
12.26,61,0,0,0,0
12.28,66,0,0,0,0
12.3,62,0,0,0,0
12.32,56,0,0,0,0
12.34,72,0,0,0,0
12.36,46,0,0,0,0
12.38,67,0,0,0,0
12.4,65,0,0,0,0
12.42,63,0,0,0,0
12.44,74,0,0,0,0
12.46,49,0,0,0,0
12.48,75,0,0,0,0
12.5,59,0,0,0,0
12.52,69,0,0,0,0
12.54,67,0,0,0,0
12.56,84,0,0,0,0
12.58,73,0,0,0,0
12.6,48,0,0,0,0
12.62,64,0,0,0,0
12.64,56,0,0,0,0
12.66,61,0,0,0,0
12.68,65,0,0,0,0
12.7,74,0,0,0,0
12.72,67,0,0,0,0
12.74,56,0,0,0,0
12.76,50,0,0,0,0
12.78,61,0,0,0,0
12.8,60,0,0,0,0
12.82,57,0,0,0,0
12.84,57,0,0,0,0
12.86,74,0,0,0,0
12.88,68,0,0,0,0
12.9,59,0,0,0,0
12.92,66,0,0,0,0
12.94,57,0,0,0,0
12.96,62,0,0,0,0
12.98,72,0,0,0,0
13,66,0,0,0,0
13.02,65,0,0,0,0
13.04,78,0,0,0,0
13.06,57,0,0,0,0
13.08,80,0,0,0,0
13.1,81,0,0,0,0
13.12,66,0,0,0,0
13.14,80,0,0,0,0
13.16,80,0,0,0,0
13.18,68,0,0,0,0
13.2,69,0,0,0,0
13.22,63,0,0,0,0
13.24,66,0,0,0,0
13.26,76,0,0,0,0
13.28,61,0,0,0,0
13.3,78,0,0,0,0
13.32,61,0,0,0,0
13.34,72,0,0,0,0
13.36,77,0,0,0,0
13.38,68,0,0,0,0
13.4,86,0,0,0,0
