/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Stress3
  Data      : P_L_PB_4_
  File Name : P_L_PB_4_.RAW

# Profile Datafile
          comment             = Retificado Vinicius 
          date & time         = 06-22-17 11:01:10 

# Measurement Condition
    X-ray tube
          target              = Cr 
          voltage             = 30.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 0.40000 (mm)  
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.40000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =  152.000 -  162.000 
          scan mode           = Continuous Scan 
          scan speed          =   8.0000 (deg/min) 
          sampling pitch      =   0.1000 (deg) 
          preset time         =   0.75 (sec) 
          stress type         = 2 
          psi angle           =   0.00 (deg) 

# Data      [ Total No. = 101 ]
  <2Theta>   <   I   >
   152.0000      4340
   152.1000      4194
   152.2000      4210
   152.3000      4376
   152.4000      4282
   152.5000      4512
   152.6000      4322
   152.7000      4348
   152.8000      4384
   152.9000      4388
   153.0000      4374
   153.1000      4326
   153.2000      4614
   153.3000      4550
   153.4000      4572
   153.5000      4480
   153.6000      4744
   153.7000      4558
   153.8000      4574
   153.9000      4790
   154.0000      4856
   154.1000      4966
   154.2000      4942
   154.3000      5058
   154.4000      5134
   154.5000      5308
   154.6000      5578
   154.7000      5554
   154.8000      5826
   154.9000      6016
   155.0000      6308
   155.1000      6448
   155.2000      6702
   155.3000      7268
   155.4000      7566
   155.5000      7664
   155.6000      7992
   155.7000      8282
   155.8000      8452
   155.9000      8578
   156.0000      8764
   156.1000      9032
   156.2000      8878
   156.3000      8710
   156.4000      8700
   156.5000      8912
   156.6000      8714
   156.7000      8356
   156.8000      8158
   156.9000      7950
   157.0000      7764
   157.1000      7496
   157.2000      7360
   157.3000      6972
   157.4000      7010
   157.5000      6548
   157.6000      6400
   157.7000      6236
   157.8000      6090
   157.9000      5830
   158.0000      5558
   158.1000      5570
   158.2000      5468
   158.3000      5290
   158.4000      5088
   158.5000      5012
   158.6000      5154
   158.7000      4788
   158.8000      4630
   158.9000      4642
   159.0000      4616
   159.1000      4708
   159.2000      4580
   159.3000      4520
   159.4000      4594
   159.5000      4550
   159.6000      4464
   159.7000      4420
   159.8000      4402
   159.9000      4460
   160.0000      4412
   160.1000      4372
   160.2000      4312
   160.3000      4344
   160.4000      4276
   160.5000      4400
   160.6000      4314
   160.7000      4270
   160.8000      4208
   160.9000      4428
   161.0000      4286
   161.1000      4334
   161.2000      4362
   161.3000      4198
   161.4000      4152
   161.5000      4306
   161.6000      4230
   161.7000      4316
   161.8000      4330
   161.9000      4168
   162.0000      4242
