/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Stress3
  Data      : P_L_PB_5_3
  File Name : P_L_PB_5_3.RAW

# Profile Datafile
          comment             = Retificado Vinicius 
          date & time         = 06-22-17 11:23:56 

# Measurement Condition
    X-ray tube
          target              = Cr 
          voltage             = 30.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 0.40000 (mm)  
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.40000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =  152.000 -  162.000 
          scan mode           = Continuous Scan 
          scan speed          =   8.0000 (deg/min) 
          sampling pitch      =   0.1000 (deg) 
          preset time         =   0.75 (sec) 
          stress type         = 2 
          psi angle           =  22.79 (deg) 

# Data      [ Total No. = 101 ]
  <2Theta>   <   I   >
   152.0000      4752
   152.1000      4800
   152.2000      4856
   152.3000      4692
   152.4000      4816
   152.5000      4776
   152.6000      4798
   152.7000      4836
   152.8000      4978
   152.9000      4782
   153.0000      5002
   153.1000      5110
   153.2000      4990
   153.3000      5214
   153.4000      5162
   153.5000      5190
   153.6000      5160
   153.7000      5314
   153.8000      5286
   153.9000      5502
   154.0000      5666
   154.1000      5632
   154.2000      5944
   154.3000      5992
   154.4000      6390
   154.5000      6592
   154.6000      6784
   154.7000      7258
   154.8000      7774
   154.9000      7996
   155.0000      8640
   155.1000      9342
   155.2000      9914
   155.3000     10578
   155.4000     11618
   155.5000     12008
   155.6000     12700
   155.7000     13284
   155.8000     13652
   155.9000     14250
   156.0000     14758
   156.1000     14878
   156.2000     14624
   156.3000     14704
   156.4000     14366
   156.5000     14290
   156.6000     13678
   156.7000     13356
   156.8000     13038
   156.9000     12458
   157.0000     12172
   157.1000     11296
   157.2000     10856
   157.3000     10314
   157.4000      9726
   157.5000      9120
   157.6000      8612
   157.7000      8340
   157.8000      7866
   157.9000      7508
   158.0000      7028
   158.1000      6798
   158.2000      6750
   158.3000      6512
   158.4000      6146
   158.5000      5934
   158.6000      5796
   158.7000      5736
   158.8000      5444
   158.9000      5460
   159.0000      5316
   159.1000      5330
   159.2000      5228
   159.3000      5028
   159.4000      5060
   159.5000      5022
   159.6000      4870
   159.7000      4940
   159.8000      4894
   159.9000      4904
   160.0000      4898
   160.1000      4762
   160.2000      4704
   160.3000      4876
   160.4000      4712
   160.5000      4654
   160.6000      4636
   160.7000      4548
   160.8000      4652
   160.9000      4650
   161.0000      4596
   161.1000      4640
   161.2000      4538
   161.3000      4682
   161.4000      4592
   161.5000      4672
   161.6000      4488
   161.7000      4522
   161.8000      4560
   161.9000      4526
   162.0000      4572
