/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Stress3
  Data      : P_L_PB_7,3_4
  File Name : P_L_PB_7,3_4.RAW

# Profile Datafile
          comment             = Retificado Vinicius 
          date & time         = 06-21-17 23:21:49 

# Measurement Condition
    X-ray tube
          target              = Cr 
          voltage             = 30.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 0.40000 (mm)  
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.40000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =  152.000 -  162.000 
          scan mode           = Continuous Scan 
          scan speed          =   8.0000 (deg/min) 
          sampling pitch      =   0.1000 (deg) 
          preset time         =   0.75 (sec) 
          stress type         = 2 
          psi angle           =  26.56 (deg) 

# Data      [ Total No. = 101 ]
  <2Theta>   <   I   >
   152.0000      4736
   152.1000      4754
   152.2000      4706
   152.3000      4754
   152.4000      4732
   152.5000      4756
   152.6000      4962
   152.7000      4928
   152.8000      4922
   152.9000      5100
   153.0000      5246
   153.1000      5102
   153.2000      5054
   153.3000      5200
   153.4000      5286
   153.5000      5300
   153.6000      5476
   153.7000      5482
   153.8000      5490
   153.9000      5540
   154.0000      5598
   154.1000      5832
   154.2000      6012
   154.3000      6254
   154.4000      6644
   154.5000      6880
   154.6000      7302
   154.7000      7698
   154.8000      8038
   154.9000      8746
   155.0000      9344
   155.1000      9900
   155.2000     10752
   155.3000     11782
   155.4000     12564
   155.5000     13338
   155.6000     14304
   155.7000     15014
   155.8000     15740
   155.9000     15910
   156.0000     16202
   156.1000     16484
   156.2000     16268
   156.3000     16420
   156.4000     16154
   156.5000     15748
   156.6000     15346
   156.7000     14764
   156.8000     14368
   156.9000     13654
   157.0000     13218
   157.1000     12312
   157.2000     11982
   157.3000     11164
   157.4000     10476
   157.5000      9946
   157.6000      9292
   157.7000      8766
   157.8000      8196
   157.9000      7862
   158.0000      7362
   158.1000      7312
   158.2000      6860
   158.3000      6692
   158.4000      6410
   158.5000      6132
   158.6000      5836
   158.7000      5778
   158.8000      5642
   158.9000      5468
   159.0000      5494
   159.1000      5376
   159.2000      5290
   159.3000      5238
   159.4000      5156
   159.5000      5104
   159.6000      5028
   159.7000      4976
   159.8000      4934
   159.9000      4966
   160.0000      4860
   160.1000      4856
   160.2000      4906
   160.3000      4792
   160.4000      4818
   160.5000      4774
   160.6000      4746
   160.7000      4702
   160.8000      4746
   160.9000      4686
   161.0000      4684
   161.1000      4570
   161.2000      4678
   161.3000      4576
   161.4000      4672
   161.5000      4602
   161.6000      4572
   161.7000      4510
   161.8000      4594
   161.9000      4600
   162.0000      4636
