/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Stress3
  Data      : P_L_PB_7,5_
  File Name : P_L_PB_7,5_.RAW

# Profile Datafile
          comment             = Retificado Vinicius 
          date & time         = 06-21-17 23:47:48 

# Measurement Condition
    X-ray tube
          target              = Cr 
          voltage             = 30.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 0.40000 (mm)  
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.40000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =  152.000 -  162.000 
          scan mode           = Continuous Scan 
          scan speed          =   8.0000 (deg/min) 
          sampling pitch      =   0.1000 (deg) 
          preset time         =   0.75 (sec) 
          stress type         = 2 
          psi angle           =   0.00 (deg) 

# Data      [ Total No. = 101 ]
  <2Theta>   <   I   >
   152.0000      4312
   152.1000      4296
   152.2000      4324
   152.3000      4262
   152.4000      4210
   152.5000      4340
   152.6000      4446
   152.7000      4422
   152.8000      4304
   152.9000      4354
   153.0000      4390
   153.1000      4490
   153.2000      4346
   153.3000      4504
   153.4000      4672
   153.5000      4562
   153.6000      4480
   153.7000      4462
   153.8000      4618
   153.9000      4760
   154.0000      4700
   154.1000      4780
   154.2000      4994
   154.3000      4942
   154.4000      5326
   154.5000      5442
   154.6000      5534
   154.7000      5738
   154.8000      5772
   154.9000      6150
   155.0000      6458
   155.1000      6578
   155.2000      6958
   155.3000      7258
   155.4000      7398
   155.5000      7692
   155.6000      8168
   155.7000      8344
   155.8000      8556
   155.9000      8582
   156.0000      8984
   156.1000      8776
   156.2000      8820
   156.3000      9044
   156.4000      8850
   156.5000      8752
   156.6000      8726
   156.7000      8414
   156.8000      8290
   156.9000      8036
   157.0000      7778
   157.1000      7570
   157.2000      7274
   157.3000      6928
   157.4000      6814
   157.5000      6604
   157.6000      6538
   157.7000      6136
   157.8000      5960
   157.9000      5746
   158.0000      5688
   158.1000      5404
   158.2000      5272
   158.3000      5258
   158.4000      4980
   158.5000      5108
   158.6000      4898
   158.7000      4938
   158.8000      4810
   158.9000      4742
   159.0000      4676
   159.1000      4682
   159.2000      4562
   159.3000      4562
   159.4000      4566
   159.5000      4474
   159.6000      4472
   159.7000      4326
   159.8000      4462
   159.9000      4474
   160.0000      4374
   160.1000      4380
   160.2000      4292
   160.3000      4362
   160.4000      4282
   160.5000      4178
   160.6000      4460
   160.7000      4284
   160.8000      4390
   160.9000      4264
   161.0000      4260
   161.1000      4302
   161.2000      4282
   161.3000      4192
   161.4000      4168
   161.5000      4316
   161.6000      4254
   161.7000      4306
   161.8000      4266
   161.9000      4238
   162.0000      4210
