/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Stress3
  Data      : P_L_PB_5_6
  File Name : P_L_PB_5_6.RAW

# Profile Datafile
          comment             = Retificado Vinicius 
          date & time         = 06-22-17 11:28:17 

# Measurement Condition
    X-ray tube
          target              = Cr 
          voltage             = 30.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 0.40000 (mm)  
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.40000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =  152.000 -  162.000 
          scan mode           = Continuous Scan 
          scan speed          =   8.0000 (deg/min) 
          sampling pitch      =   0.1000 (deg) 
          preset time         =   0.75 (sec) 
          stress type         = 2 
          psi angle           =  33.21 (deg) 

# Data      [ Total No. = 101 ]
  <2Theta>   <   I   >
   152.0000      4980
   152.1000      4814
   152.2000      4920
   152.3000      4920
   152.4000      4944
   152.5000      4944
   152.6000      5030
   152.7000      5130
   152.8000      5144
   152.9000      5200
   153.0000      5224
   153.1000      5196
   153.2000      5246
   153.3000      5362
   153.4000      5368
   153.5000      5368
   153.6000      5554
   153.7000      5536
   153.8000      5700
   153.9000      5664
   154.0000      6042
   154.1000      5982
   154.2000      6130
   154.3000      6272
   154.4000      6692
   154.5000      7032
   154.6000      7192
   154.7000      7704
   154.8000      8108
   154.9000      8808
   155.0000      9386
   155.1000     10120
   155.2000     10926
   155.3000     11736
   155.4000     12598
   155.5000     13472
   155.6000     14388
   155.7000     15286
   155.8000     15880
   155.9000     16448
   156.0000     16856
   156.1000     17042
   156.2000     17008
   156.3000     17192
   156.4000     17124
   156.5000     16666
   156.6000     16192
   156.7000     15682
   156.8000     15126
   156.9000     14576
   157.0000     14044
   157.1000     13382
   157.2000     12622
   157.3000     11920
   157.4000     11236
   157.5000     10718
   157.6000      9972
   157.7000      9290
   157.8000      8864
   157.9000      8406
   158.0000      7984
   158.1000      7614
   158.2000      7318
   158.3000      6822
   158.4000      6598
   158.5000      6500
   158.6000      5964
   158.7000      6032
   158.8000      5794
   158.9000      5780
   159.0000      5620
   159.1000      5494
   159.2000      5556
   159.3000      5400
   159.4000      5326
   159.5000      5362
   159.6000      5054
   159.7000      5020
   159.8000      5026
   159.9000      5030
   160.0000      5008
   160.1000      4870
   160.2000      4848
   160.3000      4952
   160.4000      4920
   160.5000      4868
   160.6000      4918
   160.7000      4774
   160.8000      4844
   160.9000      4880
   161.0000      4868
   161.1000      4794
   161.2000      4760
   161.3000      4828
   161.4000      4644
   161.5000      4766
   161.6000      4688
   161.7000      4838
   161.8000      4690
   161.9000      4778
   162.0000      4766
