/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Stress3
  Data      : P_L_PB_7,4_3
  File Name : P_L_PB_7,4_3.RAW

# Profile Datafile
          comment             = Retificado Vinicius 
          date & time         = 06-21-17 23:36:18 

# Measurement Condition
    X-ray tube
          target              = Cr 
          voltage             = 30.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 0.40000 (mm)  
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.40000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =  152.000 -  162.000 
          scan mode           = Continuous Scan 
          scan speed          =   8.0000 (deg/min) 
          sampling pitch      =   0.1000 (deg) 
          preset time         =   0.75 (sec) 
          stress type         = 2 
          psi angle           =  22.79 (deg) 

# Data      [ Total No. = 101 ]
  <2Theta>   <   I   >
   152.0000      4646
   152.1000      4634
   152.2000      4654
   152.3000      4722
   152.4000      4768
   152.5000      4808
   152.6000      4860
   152.7000      4782
   152.8000      4756
   152.9000      4816
   153.0000      4820
   153.1000      4954
   153.2000      4784
   153.3000      5126
   153.4000      5238
   153.5000      5206
   153.6000      5286
   153.7000      5264
   153.8000      5318
   153.9000      5488
   154.0000      5572
   154.1000      5614
   154.2000      5948
   154.3000      5888
   154.4000      6320
   154.5000      6504
   154.6000      6998
   154.7000      7376
   154.8000      7680
   154.9000      8244
   155.0000      8714
   155.1000      9342
   155.2000      9904
   155.3000     10814
   155.4000     11362
   155.5000     12262
   155.6000     12860
   155.7000     13526
   155.8000     13878
   155.9000     14500
   156.0000     14594
   156.1000     14788
   156.2000     14854
   156.3000     14766
   156.4000     14484
   156.5000     14348
   156.6000     13798
   156.7000     13526
   156.8000     13032
   156.9000     12328
   157.0000     11888
   157.1000     11378
   157.2000     10748
   157.3000     10220
   157.4000      9640
   157.5000      9162
   157.6000      8686
   157.7000      8268
   157.8000      7810
   157.9000      7392
   158.0000      7178
   158.1000      6738
   158.2000      6518
   158.3000      6280
   158.4000      6024
   158.5000      5912
   158.6000      5672
   158.7000      5572
   158.8000      5442
   158.9000      5552
   159.0000      5342
   159.1000      5148
   159.2000      5088
   159.3000      5196
   159.4000      4922
   159.5000      4976
   159.6000      4994
   159.7000      4950
   159.8000      4924
   159.9000      4838
   160.0000      4842
   160.1000      4866
   160.2000      4800
   160.3000      4690
   160.4000      4748
   160.5000      4726
   160.6000      4710
   160.7000      4714
   160.8000      4686
   160.9000      4766
   161.0000      4684
   161.1000      4556
   161.2000      4620
   161.3000      4572
   161.4000      4686
   161.5000      4608
   161.6000      4542
   161.7000      4352
   161.8000      4492
   161.9000      4490
   162.0000      4674
