/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Stress3
  Data      : P_L_PB_7,6_
  File Name : P_L_PB_7,6_.RAW

# Profile Datafile
          comment             = Retificado Vinicius 
          date & time         = 06-22-17 00:03:43 

# Measurement Condition
    X-ray tube
          target              = Cr 
          voltage             = 30.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 0.40000 (mm)  
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.40000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =  152.000 -  160.000 
          scan mode           = Continuous Scan 
          scan speed          =   8.0000 (deg/min) 
          sampling pitch      =   0.1000 (deg) 
          preset time         =   0.75 (sec) 
          stress type         = 2 
          psi angle           =   0.00 (deg) 

# Data      [ Total No. = 81 ]
  <2Theta>   <   I   >
   152.0000      4256
   152.1000      4258
   152.2000      4294
   152.3000      4446
   152.4000      4256
   152.5000      4360
   152.6000      4512
   152.7000      4382
   152.8000      4464
   152.9000      4460
   153.0000      4480
   153.1000      4410
   153.2000      4306
   153.3000      4452
   153.4000      4530
   153.5000      4554
   153.6000      4558
   153.7000      4692
   153.8000      4682
   153.9000      4618
   154.0000      4846
   154.1000      4932
   154.2000      4858
   154.3000      5070
   154.4000      5100
   154.5000      5246
   154.6000      5540
   154.7000      5762
   154.8000      5928
   154.9000      6100
   155.0000      6358
   155.1000      6640
   155.2000      6926
   155.3000      7162
   155.4000      7634
   155.5000      7838
   155.6000      7948
   155.7000      8332
   155.8000      8628
   155.9000      8582
   156.0000      8978
   156.1000      8938
   156.2000      9000
   156.3000      8830
   156.4000      8806
   156.5000      8738
   156.6000      8746
   156.7000      8410
   156.8000      8198
   156.9000      7912
   157.0000      7728
   157.1000      7684
   157.2000      7228
   157.3000      7076
   157.4000      6814
   157.5000      6540
   157.6000      6388
   157.7000      6088
   157.8000      6000
   157.9000      5756
   158.0000      5724
   158.1000      5520
   158.2000      5330
   158.3000      5122
   158.4000      5012
   158.5000      4956
   158.6000      4964
   158.7000      4910
   158.8000      4744
   158.9000      4736
   159.0000      4696
   159.1000      4550
   159.2000      4554
   159.3000      4500
   159.4000      4578
   159.5000      4444
   159.6000      4538
   159.7000      4386
   159.8000      4426
   159.9000      4396
   160.0000      4284
