/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Stress3
  Data      : P_L_PB_7_
  File Name : P_L_PB_7_.RAW

# Profile Datafile
          comment             = Retificado Vinicius 
          date & time         = 06-21-17 22:27:41 

# Measurement Condition
    X-ray tube
          target              = Cr 
          voltage             = 30.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 0.40000 (mm)  
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.40000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =  152.000 -  162.000 
          scan mode           = Continuous Scan 
          scan speed          =   8.0000 (deg/min) 
          sampling pitch      =   0.1000 (deg) 
          preset time         =   0.75 (sec) 
          stress type         = 2 
          psi angle           =   0.00 (deg) 

# Data      [ Total No. = 101 ]
  <2Theta>   <   I   >
   152.0000      4162
   152.1000      4270
   152.2000      4324
   152.3000      4182
   152.4000      4342
   152.5000      4304
   152.6000      4330
   152.7000      4306
   152.8000      4358
   152.9000      4258
   153.0000      4322
   153.1000      4402
   153.2000      4404
   153.3000      4440
   153.4000      4528
   153.5000      4540
   153.6000      4564
   153.7000      4528
   153.8000      4610
   153.9000      4704
   154.0000      4928
   154.1000      4688
   154.2000      4986
   154.3000      5164
   154.4000      5156
   154.5000      5276
   154.6000      5556
   154.7000      5566
   154.8000      5830
   154.9000      5968
   155.0000      6286
   155.1000      6664
   155.2000      7064
   155.3000      7260
   155.4000      7536
   155.5000      7780
   155.6000      8054
   155.7000      8360
   155.8000      8442
   155.9000      8752
   156.0000      8906
   156.1000      8920
   156.2000      8910
   156.3000      8990
   156.4000      8780
   156.5000      8648
   156.6000      8502
   156.7000      8384
   156.8000      8228
   156.9000      8014
   157.0000      7854
   157.1000      7592
   157.2000      7360
   157.3000      7120
   157.4000      6782
   157.5000      6654
   157.6000      6394
   157.7000      6174
   157.8000      5916
   157.9000      5690
   158.0000      5732
   158.1000      5554
   158.2000      5368
   158.3000      5194
   158.4000      5064
   158.5000      4934
   158.6000      4976
   158.7000      4892
   158.8000      4802
   158.9000      4730
   159.0000      4664
   159.1000      4642
   159.2000      4672
   159.3000      4570
   159.4000      4444
   159.5000      4440
   159.6000      4312
   159.7000      4394
   159.8000      4442
   159.9000      4292
   160.0000      4342
   160.1000      4258
   160.2000      4330
   160.3000      4246
   160.4000      4226
   160.5000      4266
   160.6000      4190
   160.7000      4380
   160.8000      4274
   160.9000      4288
   161.0000      4278
   161.1000      4190
   161.2000      4184
   161.3000      4262
   161.4000      4248
   161.5000      4280
   161.6000      4128
   161.7000      4248
   161.8000      4314
   161.9000      4268
   162.0000      4280
