/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Stress3
  Data      : Po_PB_4_8
  File Name : Po_PB_4_8.RAW

# Profile Datafile
          comment             = Calibração Pó 
          date & time         = 06-21-17 12:18:29 

# Measurement Condition
    X-ray tube
          target              = Cr 
          voltage             = 30.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 0.40000 (mm)  
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.40000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =  152.000 -  162.000 
          scan mode           = Continuous Scan 
          scan speed          =   8.0000 (deg/min) 
          sampling pitch      =   0.1000 (deg) 
          preset time         =   0.75 (sec) 
          stress type         = 2 
          psi angle           =  39.23 (deg) 

# Data      [ Total No. = 101 ]
  <2Theta>   <   I   >
   152.0000      4336
   152.1000      4356
   152.2000      4454
   152.3000      4450
   152.4000      4486
   152.5000      4478
   152.6000      4572
   152.7000      4494
   152.8000      4738
   152.9000      4644
   153.0000      4556
   153.1000      4660
   153.2000      4692
   153.3000      4756
   153.4000      5030
   153.5000      4974
   153.6000      5082
   153.7000      5328
   153.8000      5350
   153.9000      5588
   154.0000      5666
   154.1000      5852
   154.2000      5878
   154.3000      5924
   154.4000      6228
   154.5000      6396
   154.6000      6662
   154.7000      6810
   154.8000      7050
   154.9000      7390
   155.0000      7628
   155.1000      7802
   155.2000      8072
   155.3000      8152
   155.4000      8764
   155.5000      8664
   155.6000      9072
   155.7000      9126
   155.8000      9236
   155.9000      9482
   156.0000      9424
   156.1000      9566
   156.2000      9542
   156.3000      9744
   156.4000      9454
   156.5000      9508
   156.6000      9376
   156.7000      9446
   156.8000      9034
   156.9000      8876
   157.0000      8914
   157.1000      8554
   157.2000      8466
   157.3000      8228
   157.4000      7870
   157.5000      7722
   157.6000      7440
   157.7000      7318
   157.8000      7130
   157.9000      6924
   158.0000      6774
   158.1000      6706
   158.2000      6430
   158.3000      6236
   158.4000      6068
   158.5000      5912
   158.6000      5770
   158.7000      5876
   158.8000      5574
   158.9000      5576
   159.0000      5402
   159.1000      5266
   159.2000      5164
   159.3000      5114
   159.4000      5038
   159.5000      5046
   159.6000      4996
   159.7000      4998
   159.8000      4938
   159.9000      4816
   160.0000      4756
   160.1000      4888
   160.2000      4664
   160.3000      4776
   160.4000      4738
   160.5000      4592
   160.6000      4604
   160.7000      4628
   160.8000      4426
   160.9000      4420
   161.0000      4574
   161.1000      4446
   161.2000      4452
   161.3000      4444
   161.4000      4418
   161.5000      4494
   161.6000      4440
   161.7000      4426
   161.8000      4410
   161.9000      4336
   162.0000      4290
