/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Stress3
  Data      : Po_PB_5_
  File Name : Po_PB_5_.RAW

# Profile Datafile
          comment             = Calibração Pó 
          date & time         = 06-21-17 12:24:06 

# Measurement Condition
    X-ray tube
          target              = Cr 
          voltage             = 30.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 0.40000 (mm)  
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.40000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =  152.000 -  162.000 
          scan mode           = Continuous Scan 
          scan speed          =   8.0000 (deg/min) 
          sampling pitch      =   0.1000 (deg) 
          preset time         =   0.75 (sec) 
          stress type         = 2 
          psi angle           =   0.00 (deg) 

# Data      [ Total No. = 101 ]
  <2Theta>   <   I   >
   152.0000      3826
   152.1000      3832
   152.2000      3874
   152.3000      3906
   152.4000      3928
   152.5000      3952
   152.6000      3960
   152.7000      4014
   152.8000      4000
   152.9000      4022
   153.0000      4102
   153.1000      4194
   153.2000      4264
   153.3000      4414
   153.4000      4326
   153.5000      4496
   153.6000      4550
   153.7000      4686
   153.8000      4578
   153.9000      4798
   154.0000      4912
   154.1000      5184
   154.2000      5280
   154.3000      5400
   154.4000      5516
   154.5000      5564
   154.6000      5946
   154.7000      6036
   154.8000      6270
   154.9000      6316
   155.0000      6690
   155.1000      6836
   155.2000      7066
   155.3000      7314
   155.4000      7506
   155.5000      7652
   155.6000      7834
   155.7000      8112
   155.8000      8258
   155.9000      8314
   156.0000      8376
   156.1000      8546
   156.2000      8470
   156.3000      8346
   156.4000      8658
   156.5000      8320
   156.6000      8298
   156.7000      8190
   156.8000      8202
   156.9000      8134
   157.0000      7762
   157.1000      7686
   157.2000      7476
   157.3000      7224
   157.4000      7092
   157.5000      6924
   157.6000      6620
   157.7000      6578
   157.8000      6274
   157.9000      6230
   158.0000      6016
   158.1000      5762
   158.2000      5740
   158.3000      5508
   158.4000      5488
   158.5000      5316
   158.6000      5200
   158.7000      5186
   158.8000      5114
   158.9000      5046
   159.0000      4930
   159.1000      4796
   159.2000      4672
   159.3000      4676
   159.4000      4670
   159.5000      4442
   159.6000      4408
   159.7000      4388
   159.8000      4322
   159.9000      4304
   160.0000      4216
   160.1000      4230
   160.2000      4190
   160.3000      4308
   160.4000      4232
   160.5000      4226
   160.6000      4096
   160.7000      4222
   160.8000      4122
   160.9000      3996
   161.0000      3998
   161.1000      3986
   161.2000      4030
   161.3000      3988
   161.4000      3972
   161.5000      4044
   161.6000      3858
   161.7000      3908
   161.8000      3930
   161.9000      4102
   162.0000      3990
