/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Stress3
  Data      : Po_PB_5_8
  File Name : Po_PB_5_8.RAW

# Profile Datafile
          comment             = Calibração Pó 
          date & time         = 06-21-17 12:36:13 

# Measurement Condition
    X-ray tube
          target              = Cr 
          voltage             = 30.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 0.40000 (mm)  
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.40000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =  152.000 -  162.000 
          scan mode           = Continuous Scan 
          scan speed          =   8.0000 (deg/min) 
          sampling pitch      =   0.1000 (deg) 
          preset time         =   0.75 (sec) 
          stress type         = 2 
          psi angle           =  39.23 (deg) 

# Data      [ Total No. = 101 ]
  <2Theta>   <   I   >
   152.0000      4358
   152.1000      4368
   152.2000      4352
   152.3000      4366
   152.4000      4418
   152.5000      4490
   152.6000      4496
   152.7000      4488
   152.8000      4604
   152.9000      4630
   153.0000      4658
   153.1000      4842
   153.2000      4866
   153.3000      4784
   153.4000      5012
   153.5000      4986
   153.6000      5138
   153.7000      5216
   153.8000      5266
   153.9000      5408
   154.0000      5596
   154.1000      5760
   154.2000      5850
   154.3000      5994
   154.4000      6214
   154.5000      6330
   154.6000      6726
   154.7000      6892
   154.8000      7140
   154.9000      7302
   155.0000      7528
   155.1000      7736
   155.2000      7890
   155.3000      8306
   155.4000      8552
   155.5000      8868
   155.6000      8986
   155.7000      9230
   155.8000      9324
   155.9000      9446
   156.0000      9442
   156.1000      9518
   156.2000      9474
   156.3000      9632
   156.4000      9696
   156.5000      9426
   156.6000      9440
   156.7000      8972
   156.8000      9002
   156.9000      8970
   157.0000      8604
   157.1000      8588
   157.2000      8316
   157.3000      8246
   157.4000      7836
   157.5000      7716
   157.6000      7646
   157.7000      7362
   157.8000      6978
   157.9000      6830
   158.0000      6890
   158.1000      6550
   158.2000      6320
   158.3000      6402
   158.4000      6064
   158.5000      5854
   158.6000      5834
   158.7000      5744
   158.8000      5512
   158.9000      5524
   159.0000      5436
   159.1000      5308
   159.2000      5372
   159.3000      5128
   159.4000      5144
   159.5000      4964
   159.6000      4944
   159.7000      4778
   159.8000      4966
   159.9000      4790
   160.0000      4892
   160.1000      4718
   160.2000      4646
   160.3000      4794
   160.4000      4758
   160.5000      4708
   160.6000      4522
   160.7000      4630
   160.8000      4590
   160.9000      4530
   161.0000      4320
   161.1000      4528
   161.2000      4414
   161.3000      4382
   161.4000      4466
   161.5000      4406
   161.6000      4392
   161.7000      4338
   161.8000      4308
   161.9000      4340
   162.0000      4384
