/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Stress3
  Data      : Po_PB_7,1_
  File Name : Po_PB_7,1_.RAW

# Profile Datafile
          comment             = Calibração Pó 
          date & time         = 06-21-17 13:33:56 

# Measurement Condition
    X-ray tube
          target              = Cr 
          voltage             = 30.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 0.40000 (mm)  
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.40000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =  152.000 -  162.000 
          scan mode           = Continuous Scan 
          scan speed          =   8.0000 (deg/min) 
          sampling pitch      =   0.1000 (deg) 
          preset time         =   0.75 (sec) 
          stress type         = 2 
          psi angle           =   0.00 (deg) 

# Data      [ Total No. = 101 ]
  <2Theta>   <   I   >
   152.0000      3776
   152.1000      3772
   152.2000      3786
   152.3000      3800
   152.4000      3852
   152.5000      3948
   152.6000      3868
   152.7000      4020
   152.8000      4010
   152.9000      4096
   153.0000      4120
   153.1000      4106
   153.2000      4192
   153.3000      4308
   153.4000      4266
   153.5000      4462
   153.6000      4492
   153.7000      4648
   153.8000      4648
   153.9000      4760
   154.0000      4970
   154.1000      5000
   154.2000      5210
   154.3000      5422
   154.4000      5400
   154.5000      5548
   154.6000      5710
   154.7000      6012
   154.8000      6290
   154.9000      6472
   155.0000      6704
   155.1000      6852
   155.2000      7160
   155.3000      7282
   155.4000      7400
   155.5000      7818
   155.6000      8006
   155.7000      8120
   155.8000      8078
   155.9000      8408
   156.0000      8418
   156.1000      8526
   156.2000      8308
   156.3000      8454
   156.4000      8288
   156.5000      8426
   156.6000      8332
   156.7000      8272
   156.8000      8150
   156.9000      8084
   157.0000      7874
   157.1000      7626
   157.2000      7424
   157.3000      7192
   157.4000      6920
   157.5000      6890
   157.6000      6700
   157.7000      6600
   157.8000      6494
   157.9000      6208
   158.0000      6058
   158.1000      5832
   158.2000      5704
   158.3000      5558
   158.4000      5498
   158.5000      5256
   158.6000      5246
   158.7000      5034
   158.8000      4968
   158.9000      4976
   159.0000      4780
   159.1000      4746
   159.2000      4738
   159.3000      4648
   159.4000      4550
   159.5000      4502
   159.6000      4342
   159.7000      4550
   159.8000      4388
   159.9000      4384
   160.0000      4292
   160.1000      4226
   160.2000      4202
   160.3000      4214
   160.4000      4090
   160.5000      4132
   160.6000      4082
   160.7000      4032
   160.8000      3980
   160.9000      4008
   161.0000      4092
   161.1000      4010
   161.2000      4008
   161.3000      4046
   161.4000      4044
   161.5000      3846
   161.6000      4022
   161.7000      3936
   161.8000      4072
   161.9000      3882
   162.0000      3928
