/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Stress3
  Data      : Po_PB_7,5_4
  File Name : Po_PB_7,5_4.RAW

# Data      [ Total No. = 101 ]
  <2Theta>   <   I   >
   152.0000      4070
   152.1000      4056
   152.2000      4206
   152.3000      4286
   152.4000      4288
   152.5000      4258
   152.6000      4278
   152.7000      4400
   152.8000      4292
   152.9000      4422
   153.0000      4532
   153.1000      4594
   153.2000      4544
   153.3000      4716
   153.4000      4632
   153.5000      4758
   153.6000      4904
   153.7000      5026
   153.8000      4948
   153.9000      5212
   154.0000      5232
   154.1000      5496
   154.2000      5604
   154.3000      5838
   154.4000      6020
   154.5000      6118
   154.6000      6362
   154.7000      6712
   154.8000      6844
   154.9000      7040
   155.0000      7200
   155.1000      7414
   155.2000      7568
   155.3000      7854
   155.4000      8036
   155.5000      8428
   155.6000      8498
   155.7000      8718
   155.8000      8774
   155.9000      9080
   156.0000      9240
   156.1000      9046
   156.2000      9328
   156.3000      9060
   156.4000      9498
   156.5000      9146
   156.6000      9006
   156.7000      8840
   156.8000      8610
   156.9000      8410
   157.0000      8464
   157.1000      8184
   157.2000      7882
   157.3000      7854
   157.4000      7566
   157.5000      7368
   157.6000      7178
   157.7000      6808
   157.8000      6676
   157.9000      6526
   158.0000      6390
   158.1000      6146
   158.2000      5996
   158.3000      5894
   158.4000      5770
   158.5000      5832
   158.6000      5552
   158.7000      5300
   158.8000      5394
   158.9000      5274
   159.0000      5218
   159.1000      5080
   159.2000      4870
   159.3000      4712
   159.4000      4796
   159.5000      4726
   159.6000      4644
   159.7000      4656
   159.8000      4666
   159.9000      4634
   160.0000      4588
   160.1000      4304
   160.2000      4510
   160.3000      4412
   160.4000      4526
   160.5000      4418
   160.6000      4438
   160.7000      4230
   160.8000      4362
   160.9000      4400
   161.0000      4380
   161.1000      4310
   161.2000      4214
   161.3000      4204
   161.4000      4156
   161.5000      4326
   161.6000      4202
   161.7000      4188
   161.8000      4200
   161.9000      4132
   162.0000      4144
